№;Модуль;Описание;Строк;Размер (КБ)
1;analytics/__init__.py;Маркер Python-пакета;0;0.0
2;analytics/admin.py;Регистрация и настройка моделей в админ-панели;51;1.6
3;analytics/apps.py;Конфигурация Django-приложения;5;0.1
4;analytics/models.py;Модели и структура данных домена;296;7.9
5;analytics/tests.py;Заготовка/набор тестов модуля;3;0.1
6;analytics/views.py;Серверные представления и обработка запросов;3;0.1
7;api/__init__.py;Маркер Python-пакета;0;0.0
8;api/apps.py;Конфигурация Django-приложения;6;0.1
9;api/auth.py;JWT-аутентификация и регистрация пользователей;192;6.5
10;api/exceptions.py;Централизованная обработка исключений API;78;2.2
11;api/pagination.py;Настройки и классы пагинации API;7;0.2
12;api/permissions.py;Проверка прав доступа и ролей (RBAC);35;1.2
13;api/schema.py;Настройка OpenAPI/Swagger схемы;12;0.3
14;api/serializers/__init__.py;Маркер Python-пакета;64;1.6
15;api/serializers/analytics.py;DRF-сериализаторы данных;207;4.9
16;api/serializers/courses.py;DRF-сериализаторы данных;277;8.1
17;api/serializers/feedback.py;DRF-сериализаторы данных;64;1.8
18;api/serializers/results.py;DRF-сериализаторы данных;94;3.1
19;api/serializers/tests.py;Заготовка/набор тестов модуля;178;5.4
20;api/serializers/users.py;DRF-сериализаторы данных;231;6.6
21;api/urls.py;Маршрутизация URL и точки входа;83;3.4
22;api/viewsets/__init__.py;Маркер Python-пакета;62;1.4
23;api/viewsets/analytics.py;ViewSet-эндпоинты REST API;334;12.5
24;api/viewsets/base.py;ViewSet-эндпоинты REST API;56;2.0
25;api/viewsets/courses.py;ViewSet-эндпоинты REST API;195;6.9
26;api/viewsets/feedback.py;ViewSet-эндпоинты REST API;48;1.8
27;api/viewsets/results.py;ViewSet-эндпоинты REST API;25;0.9
28;api/viewsets/tests.py;Заготовка/набор тестов модуля;465;19.7
29;api/viewsets/users.py;ViewSet-эндпоинты REST API;124;4.8
30;artculinary/__init__.py;Маркер Python-пакета;0;0.0
31;artculinary/admin.py;Регистрация и настройка моделей в админ-панели;3;0.1
